Овсяные хлопья,12,"6,5",66,380,80,,,,
Геркулес монастырский,12,6,62,360,,,,,
Перловая крупа Увелка,10,1,61,310,80,,,,
Макароны,12,"1,3",73,358,100,,,,
Пшеничная каша в пакетиках PROSTO,"11,5","3,3","66,5",342,"62,5",,,,
Варёная картошка,"1,7","0,1","18,6",85,,,,,
Гречка в пакетиках Увелка,13,"2,5",61,340,80,,,,
Подушечки с молочной начинкой Хрутка,"5,5","15,5","69,9",448,,,,,
Медовые хлопья Хрутка,7,3,"78,6",369,,,,,
Кукурузные хлопья,"6,5","1,1","85,2",376,,,,,
Овсяные колечки с медом Leonardo,7,1,86,380,,,,,
Рис белый,"6,7","0,7","78,9",344,,,,,
Хлеб пшеничный (ломтик),"6,9","0,8",46,225,30,,,,
Хлеб черный,7,1,44,210,,,,,
Картофельные дольки,"2,4","6,2","20,8",149,200,,,,
Куриное филе в сухарях,"20,2","7,1","4,3","166,8",,,,,
Люля-кебаб из курицы,25,9,4,215,220,,,,
Тефтели свиные,7,10,12,172,80,,,,
Тефтели из говядины с рисом,8,12,10,174,80,,,,
Тефтели куриные,"16,05","8,61","11,63",191,"61,33333333",,,,
Котлеты свиные,"10,6","14,2","8,2","199,6",150,,,,
Котлеты куриные,"22,77","15,28","7,24",256,65,,,,
Котлеты из говядины,"12,4","31,9","1,58",345,100,,,,
Котлеты из индейки,"15,44","12,92","5,07",198,"102,5",,,,
Шашлык из свинины,15,"17,8","0,4","218,9",,,,,
Шашлык из куриной голени,18,7,0,140,250,,,,
Котлеты из креветок,"12,65","1,78","13,41",116,100,,,,
Блинчики с манго,"2,85","9,95","29,68",219,70,,,,
Блинчики с творогом,"9,6","8,3","20,6","196,9",70,,,,
Блинчики с клубникой и творогом,"7,1","8,39","21,17",189,70,,,,
Блинчики с вареной сгущенкой,"7,5","11,1","46,7",316,70,,,,
Блинчики c яблоком и корицей,"4,19","3,07","28,15","155,1",70,,,,
Блинчики с жульеном,11,12,26,260,70,,,,
Котлеты из мяса кальмара,"10,8","0,9","5,9","74,9",120,,,,
Куриное бедро на гриле,"21,19","9,97","0,19","172,98",75,,,,
Тушенка Мясничий,15,17,0,213,338,,,,
Блинчики с мясом и рисом,7,7,22,180,70,,,,
Блинчики с ветчиной и сыром,"11,2",9,"19,6","211,4",70,,,,
Блинчики с рикоттой,"7,25","9,25","20,08",193,70,,,,
Суп куриный,"3,6","0,6","8,9","56,4",,,,,
Тонкие колбаски из курицы по-домашнему,"17,73","17,12","2,12",236,50,,,,
Тонкие колбаски из свинины и говядины с грибами,"17,65","14,27","2,4",218,50,,,,
Тефтели из щуки,"13,17","5,64","8,94",191,"55,55555556",,,,
Голубцы,"5,03","6,13","6,28",108,"122,5",,,,
Куриное филе вареное,"30,2","1,8","0,6","139,5",,,,,
Шашлык из куриного филе,"20,4","1,7","2,2","104,6",,,,,
Котлеты из курицы и кролика,"19,6","5,6",1,"132,4",75,,,,
Борщ,"3,8","2,9","4,3","57,7",,,,,
Икра красная,31,12,0,232,,,,,
Рис с говядиной,"13,46","4,78","34,89","205,54",,,,,
Люля-кебаб из курицы в лаваше,18,"16,5","15,3","283,1",230,,,,
Люля-кебаб из Говядины,"16,9","14,7","0,3",202,,,,,
Фаршированные куриные окорочка,13,10,2,151,200,,,,
Вареная говядина,"25,8","16,8",0,254,,,,,
Апельсин,"0,9","0,2","8,1",43,350,,,,
Банан,"1,5","0,2","21,8",95,90,,,,
Яблоко,"0,4","0,4","9,8",47,200,,,,
Яблоки Гренни Смит,"0,4","0,2","10,8",58,200,,,,
Яблоки Голден,"0,5","0,2","10,7",53,200,,,,
Мандарин,"0,8","0,2","7,5",33,100,,,,
Абрикос,"0,9","0,1",9,44,50,,,,
Персик,"0,9","0,1","11,3",46,100,,,,
Черешня,"1,1","0,4","10,6",52,,,,,
Нектарин,"0,9","0,2","11,8",48,100,,,,
Дымов салями итальянская,16,46,0,478,,,,,
Яйцо жареное,"13,6","14,8","0,8",196,50,,,,
Яйцо варёное,13,12,"0,8",157,60,,,,
Bombbar Tiramisu,33,"8,9",7,311,60,,,,
Chika Layers Tofee & caramel,30,"14,1","3,8",333,60,,,,
Smartbar Double chocolate,20,9,49,344,40,,,,
Батончик Protein Sport Шоколад,22,17,47,455,40,,,,
Батончик Protein Sport Банан,20,17,41,423,40,,,,
Coco Chocolate,"7,9",28,"8,8",399,40,,,,
Батончик Actifruit злаковый с шоколадом,4,10,69,380,24,,,,
Батончик Actifruit злаковый с клубникой,5,8,73,390,24,,,,
Батончик Командор с орехами,15,16,58,436,37,,,,
Батончик Командор Апельсин,"4,5","14,7","57,9",381,37,,,,
Батончик мюсли Командор,"9,7",14,"46,9",352,32,,,,
Агуша банан,0,0,17,68,90,,,,
Печенье ProteinRex Арахис,26,18,14,340,50,,,,
Печенье ProteinRex Миндаль,26,18,14,340,50,,,,
Печенье ProteinRex Вишня,30,14,16,320,50,,,,
Печенье Bombbar Brownie,25,"10,5",13,271,40,,,,
Фруктовый батончик Фрутилад Банан Клубника,"2,5","0,4",53,230,30,,,,
Фруктовый батончик с вишней,3,"6,5",67,340,40,,,,
Батончик Chikabar,25,19,7,365,60,,,,
Батончик Matti Ореховый микс,8,20,54,430,24,,,,
Батончик Matti Клубника и йогурт,"5,5",11,71,400,24,,,,
Батончик Matti Черника и йогурт,4,10,73,400,24,,,,
Батончик Кофе с шоколадом,4,10,60,350,25,,,,
Батончик Рост Клубника со сливками,8,9,54,329,32,,,,
Батончик Bombbar Peanut butter,29,20,7,380,70,,,,
Батончик Bombbar Muesli Peanut,"12,8","27,9","15,4",382,45,,,,
Батончик Bombbar Muesli Strawberry & Almonds,"8,4","21,3","28,6",376,45,,,,
Зерновой батончик с кокосом cornline,6,21,63,470,30,,,,
Зерновой батончик с клюквой cornline,4,"6,5",77,380,30,,,,
Миндаль,"18,6","53,7",13,609,,,,,
Арахис жареный соленый,25,53,7,600,,,,,
Батончик Beauty Fit,25,20,0,"412,5",40,10,8,0,165
Чипсы цельнозерновые Dr. Korner,8,9,75,400,50,,,,
Томатный сок,1,"0,1","2,9",18,,,,,
Тыквенный сок с мякотью,"2,8","8,4",11,44,,,,,
Маслины без косточки,"0,84","10,68","6,26",115,,,,,
Лук репчатый,"1,4","0,2","8,2",41,,,,,
Помидор,"0,9","0,2","3,9",20,100,,,,
Огурец,"0,82","0,18","2,28",16,120,,,,
Огурец малосольный,"0,9","0,1","1,9","13,95",70,,,,
Кабачки с овощами в духовке,1,4,5,60,,,,,
Квашеная капуста,"1,8","0,1","4,4",19,,,,,
Перец,"1,3",0,"5,3",27,100,,,,
Онигири с креветкой,"19,2","6,1","42,8","302,9",140,,,,
Салат крабовый,"9,2","7,4","5,9",128,132,,,,
Салат весенний из свежих овощей,"1,5","1,5","4,3","36,5",,,,,
"Салат с курицей, сыром и ананасом","11,6","9,5","5,4",156,,,,,
Салат с перцем,"4,822","2,908","8,118","77,935",,,,,
Салат из помидора и огурца с яйцом,"2,017777778","1,46","2,148888889","29,44444444",,,,,
"Салат из огурца, лука и маслин","0,6466666667","1,873333333","3,17","31,33333333",,,,,
Салат из помидора и огурца с луком,"0,8066666667","0,16","3,426666667","18,83333333",,,,,
Салат Цезарь,"10,7","16,4","7,2","221,6",,,,,
Салат из квашеной капусты с огурцом,"1,506","0,124","3,764","18,1",,,,,
